Time;MSD;S
1;0.0;0.0
2;0.011520035654990456;0.004800014856246023
3;0.022870356524817736;0.006352876812449371
4;0.019981910310949546;0.004162897981447822
5;0.017673226780470046;0.002945537796745008
6;0.017203299137615254;0.0023893471024465634
7;0.018481499636642276;0.0022001785281716996
8;0.02148819810043623;0.0022383539687954404
9;0.020636702962611757;0.001910805829871459
10;0.020358179991965816;0.0016965149993304848
11;0.02009634652728639;0.0015224504944913932
12;0.018905487551323433;0.0013128810799530161
13;0.019364301731144513;0.001241301393022084
14;0.019543958123105845;0.0011633308406610622
15;0.019616650614982967;0.0010898139230546093
16;0.019819616237618888;0.0010322716790426504
17;0.019184054167761536;0.0009403948121451733
18;0.019248067713312132;0.0008911142459866729
19;0.01961434647854807;0.0008602783543222838
20;0.01955818754430801;0.0008149244810128337
21;0.01985815933345902;0.0007880221957721834
22;0.020449402428269883;0.0007745985768284046
23;0.02066862572295405;0.0007488632508316685
24;0.02142995486620782;0.0007440956550766603
25;0.023164013905357845;0.0007721337968452615
26;0.02394547947137315;0.0007674833163901652
27;0.02425765421694282;0.0007486930313871241
28;0.023854124011676345;0.0007099441670141769
29;0.024096095359374587;0.0006924165333153617
30;0.023863122001834207;0.0006628645000509502
31;0.02513162502475277;0.0006755813178696981
32;0.024553506049530122;0.000639414220039847
33;0.025515572919048782;0.0006443326494709288
34;0.027808370225512226;0.0006815777016056918
35;0.027805085138710967;0.0006620258366359753
36;0.02736490761884536;0.0006334469356214205
37;0.027664369029638407;0.0006230713745414056
38;0.028637331168947008;0.0006280116484418202
